customer_id,customer_name,email,phone,age,gender,city,state,customer_segment,registration_date
CUST0001,Victor Moore,rachel@yahoo.com,,46,Other,Mumbai,MH,Home Office,2020-01-01
CUST0002,Steve Lee,olivia58@outlook.com,,62,Female,Toronto,ON,Consumer,2020-01-02
CUST0003,Karen  White,uma@hotmail.com,,46,Female,Ahmedabad,GJ,Corporate,2020-01-04
CUST0004,Frank Patel,djackson@yahoo.com,,46,Other,Ahmedabad,GJ,Consumer,2020-01-06
CUST0005,Rachel Miller,ojackson@hotmail.com,8751295118,46,Female,Mumbai,MH,Consumer,2020-01-08
CUST0006,Xander Wilson,charlie@yahoo.com,8921706952,46,Female,Hyderabad,TS,Corporate,2020-01-10
CUST0008,Xander  Williams,,6608940398,48,Female,Delhi,DL,Home Office,2020-01-13
CUST0009,Peter Anderson,rachel.anderson@yahoo.com,,21,Other,Delhi,DL,Home Office,2020-01-15
CUST0010,Jack Thomas,elee@gmail.com,,46,Female,Ahmedabad,GJ,Corporate,2020-01-17
CUST0011,Arjun  Thomas,nshah@gmail.com,8780801356,46,Female,Bangalore,KA,Consumer,2020-01-19
CUST0012,Olivia Garcia,uma.shah@outlook.com,,46,Male,Surat,GJ,Home Office,2020-01-21
CUST0013,Iris Harris,nmoore@gmail.com,,46,Female,Pune,MH,Corporate,2020-01-22
CUST0014,Priya White,pooja65@gmail.com,7232322744,45,Male,Surat,GJ,Corporate,2020-01-24
CUST0015,Arjun Jackson,zoe62@yahoo.com,,57,Female,Kolkata,WB,Home Office,2020-01-26
CUST0016,Arjun Martin,sbrown@hotmail.com,,46,Female,Chennai,TN,Consumer,2020-01-28
CUST0017,Sneha  Walker,jack74@hotmail.com,6427159637,21,Male,Surat,GJ,Corporate,2020-01-30
CUST0018,Xander  Jackson,quinn@gmail.com,8327350811,46,Male,Mumbai,MH,Consumer,2020-01-02
CUST0019,Bob Jones,iris@yahoo.com,7272823429,46,Other,Hyderabad,TS,Consumer,2020-02-02
CUST0020,Rahul Harris,,,54,Male,Mumbai,MH,Consumer,2020-04-02
CUST0021,Jack Smith,qwilson@gmail.com,8308656189,64,Other,New York,NY,Home Office,2020-06-02
CUST0022,Alice Thomas,priya.moore@hotmail.com,,46,Male,Toronto,ON,Consumer,2020-08-02
CUST0023,Eve  Jackson,,,20,Male,Sydney,NSW,Corporate,2020-10-02
CUST0024,Frank Williams,,,56,Female,Surat,GJ,Corporate,2020-02-12
CUST0025,Victor Moore,,,46,Other,Mumbai,MH,Home Office,2020-02-13
CUST0027,Zoe Thompson,pwhite@hotmail.com,,46,Male,Hyderabad,TS,Consumer,2020-02-17
CUST0029,Priya  Thompson,diana7@gmail.com,,46,Other,Sydney,NSW,Consumer,2020-02-21
CUST0030,Diana Garcia,,7207422565,46,Female,Kolkata,WB,Consumer,2020-02-23
CUST0032,Charlie Thomas,karen@outlook.com,9583877436,46,Male,Jaipur,RJ,Home Office,2020-02-26
CUST0034,Diana Moore,eve.brown@hotmail.com,,46,Other,Mumbai,MH,Consumer,2020-03-01
CUST0035,Steve White,yara@yahoo.com,8967261018,23,Male,Pune,MH,Consumer,2020-03-03
CUST0036,Arjun Moore,yharris@gmail.com,9281075299,46,Other,New York,NY,Home Office,2020-03-04
CUST0037,Zoe Thomas,sneha@yahoo.com,,25,Female,Mumbai,MH,Corporate,2020-03-06
CUST0038,Tina Thompson,qjohnson@gmail.com,,70,Female,Delhi,DL,Home Office,2020-08-03
CUST0039,Uma Walker,amiller@yahoo.com,,46,Other,Ahmedabad,GJ,Home Office,2020-03-10
CUST0040,Wendy  Harris,henry.moore@hotmail.com,,59,Other,Delhi,DL,Consumer,2020-12-03
CUST0041,Alice  Williams,rachel56@yahoo.com,8615346649,20,Other,Sydney,NSW,Home Office,2020-03-14
CUST0042,Rachel Taylor,,,42,Female,Toronto,ON,Corporate,2020-03-15
CUST0043,Jack Jones,,,21,Female,Kolkata,WB,Home Office,2020-03-17
CUST0044,Zoe  Harris,,,57,Female,London,LDN,Consumer,2020-03-19
CUST0045,Rahul Miller,priya@outlook.com,,42,Other,Hyderabad,TS,Corporate,2020-03-21
CUST0046,Nick Jones,karen@hotmail.com,7678336713,31,Female,Hyderabad,TS,Corporate,2020-03-23
CUST0047,Rahul Miller,,,60,Female,Pune,MH,Consumer,2020-03-25
CUST0048,Wendy Smith,alice@hotmail.com,6881067043,46,Female,Toronto,ON,Home Office,2020-03-26
CUST0049,Zoe  Smith,quinn@hotmail.com,,46,Female,Pune,MH,Corporate,2020-03-28
CUST0050,Mia Martin,leo.white@yahoo.com,,46,Other,Kolkata,WB,Corporate,2020-03-30
CUST0051,Tina Anderson,grace@gmail.com,,19,Other,Delhi,DL,Consumer,2020-04-01
CUST0052,Frank Harris,tina.lee@outlook.com,,46,Male,Jaipur,RJ,Home Office,2020-04-03
CUST0053,Charlie Thomas,mthomas@hotmail.com,,68,Male,Toronto,ON,Consumer,2020-04-05
CUST0054,Victor  Jackson,jack.davis@hotmail.com,,46,Female,Pune,MH,Consumer,2020-06-04
CUST0055,Yara  Thomas,xander@yahoo.com,7492794766,46,Female,Ahmedabad,GJ,Consumer,2020-04-08
