order_id,customer_id,order_date,ship_date,order_status,payment_method,sales_channel,order_amount,discount_amount,shipping_fee,city_x,state_x,net_amount,order_month,order_year,customer_name,gender,customer_segment,city_y,state_y,age,product_id,quantity,unit_price,discount_pct,item_total,product_name,category,sub_category,brand,profit_margin
ORD00001,CUST0030,2022-01-01,2022-01-04,Shipped,Credit Card,Mobile App,46753.88,17427.65,149,Hyderabad,RJ,29475.23,2022-01,2022,Diana Garcia,Female,Consumer,Kolkata,WB,46.0,PROD184,10.0,4795.09,38.9,29298.0,Penguin Fiction 673,Home & Kitchen,Comics,Apple,55.75
ORD00001,CUST0030,2022-01-01,2022-01-04,Shipped,Credit Card,Mobile App,46753.88,17427.65,149,Hyderabad,RJ,29475.23,2022-01,2022,Diana Garcia,Female,Consumer,Kolkata,WB,46.0,PROD023,1.0,609.34,33.4,405.82,Samsung T-Shirt 863,Clothing,Shoes,Harpercollins,44.46
ORD00002,CUST0983,2022-01-01,2022-01-04,Returned,Debit Card,In-Store,13875.49,425.08,199,Hyderabad,MH,13649.41,2022-01,2022,Jack Taylor,Female,Consumer,Pune,MH,27.0,,,,,,,,,,
ORD00003,CUST0547,2022-01-02,2022-01-06,Shipped,Upi,In-Store,20497.61,4474.85,199,Ahmedabad,KA,16221.76,2022-01,2022,Victor Thompson,Other,Corporate,Chennai,TN,58.0,PROD138,4.0,3428.22,19.2,11080.01,Penguin History 493,Home & Kitchen,Self-Help,Prestige,40.86
ORD00003,CUST0547,2022-01-02,2022-01-06,Shipped,Upi,In-Store,20497.61,4474.85,199,Ahmedabad,KA,16221.76,2022-01,2022,Victor Thompson,Other,Corporate,Chennai,TN,58.0,PROD133,7.0,3744.15,23.1,20154.76,Nike Swimming 562,Books,Football,Puma,14.61
ORD00003,CUST0547,2022-01-02,2022-01-06,Shipped,Upi,In-Store,20497.61,4474.85,199,Ahmedabad,KA,16221.76,2022-01,2022,Victor Thompson,Other,Corporate,Chennai,TN,58.0,PROD184,6.0,3006.99,23.9,13729.92,Penguin Fiction 673,Home & Kitchen,Comics,Apple,55.75
ORD00004,CUST0228,2022-03-01,2022-01-04,Cancelled,Upi,Mobile App,31214.91,5909.67,0,Jaipur,TN,25305.24,2022-03,2022,Diana Walker,Female,Consumer,Hyderabad,TS,45.0,PROD103,4.0,3657.27,11.1,13005.25,Nike Furniture 174,Clothing,Appliances,Nike,31.46
ORD00004,CUST0228,2022-03-01,2022-01-04,Cancelled,Upi,Mobile App,31214.91,5909.67,0,Jaipur,TN,25305.24,2022-03,2022,Diana Walker,Female,Consumer,Hyderabad,TS,45.0,PROD026,2.0,4705.72,15.3,7971.49,Nike Cricket 264,Clothing,Running,Apple,32.24
ORD00005,CUST0051,2022-01-03,2022-01-06,Pending,Net Banking,In-Store,31991.69,4627.35,0,Delhi,DL,27364.34,2022-01,2022,Tina Anderson,Other,Consumer,Delhi,DL,19.0,PROD035,7.0,3458.02,39.2,14717.33,Adidas Tablet 510,Books,Headphones,Nike,75.82
ORD00005,CUST0051,2022-01-03,2022-01-06,Pending,Net Banking,In-Store,31991.69,4627.35,0,Delhi,DL,27364.34,2022-01,2022,Tina Anderson,Other,Consumer,Delhi,DL,19.0,PROD096,2.0,67.46,27.2,98.22,Apple Lighting 795,Books,Bedding,Apple,37.49
ORD00006,CUST0788,2022-01-04,2022-01-06,Returned,Cod,Online,40333.19,4893.35,199,Toronto,MH,35638.84,2022-01,2022,Leo Moore,Female,Home Office,New York,NY,46.0,PROD135,3.0,1093.04,0.0,3279.12,Apple Shoes 165,Sports,Dress,Adidas,31.77
ORD00007,CUST0410,2022-05-01,2022-01-06,Delivered,Upi,Online,7364.16,693.1,99,Toronto,WB,6770.06,2022-05,2022,Priya Thomas,Male,Home Office,Mumbai,MH,30.0,PROD102,10.0,4663.24,4.0,44767.1,Penguin Appliances 888,Clothing,Lighting,Nike,22.48
ORD00007,CUST0410,2022-05-01,2022-01-06,Delivered,Upi,Online,7364.16,693.1,99,Toronto,WB,6770.06,2022-05,2022,Priya Thomas,Male,Home Office,Mumbai,MH,30.0,PROD164,2.0,1315.4,15.5,2223.03,Lg Camera 401,Home & Kitchen,Camera,Nike,58.81
ORD00007,CUST0410,2022-05-01,2022-01-06,Delivered,Upi,Online,7364.16,693.1,99,Toronto,WB,6770.06,2022-05,2022,Priya Thomas,Male,Home Office,Mumbai,MH,30.0,PROD194,10.0,2824.7,10.8,25196.32,Harpercollins Fiction 998,Electronics,Self-Help,Philips,26.4
ORD00008,CUST0619,2022-06-01,2022-01-07,Cancelled,Debit Card,Online,15431.2,2587.97,149,Kolkata,NSW,12992.23,2022-06,2022,Quinn Anderson,Female,Home Office,Delhi,DL,47.0,PROD183,2.0,3589.76,8.6,6562.08,Apple Non-Fiction 981,Clothing,Comics,Philips,58.04
ORD00009,CUST0455,2022-06-01,2022-01-09,Cancelled,Debit Card,In-Store,7625.71,1025.74,149,Toronto,RJ,6748.97,2022-06,2022,Victor Martin,Male,Consumer,Pune,MH,65.0,PROD118,6.0,1999.87,22.9,9251.4,Philips Tablet 619,Books,Camera,Samsung,55.89
ORD00009,CUST0455,2022-06-01,2022-01-09,Cancelled,Debit Card,In-Store,7625.71,1025.74,149,Toronto,RJ,6748.97,2022-06,2022,Victor Martin,Male,Consumer,Pune,MH,65.0,PROD153,8.0,1262.13,15.7,8511.8,Nike Bedding 873,Clothing,Furniture,Nike,45.12
ORD00010,CUST0976,2022-07-01,2022-01-11,Delivered,Upi,Online,37585.38,2459.99,99,Ahmedabad,ON,35224.39,2022-07,2022,Rahul Walker,Other,Corporate,Delhi,DL,46.0,PROD091,10.0,754.49,31.1,5198.44,Samsung Fiction 485,Clothing,Self-Help,Apple,40.0
ORD00010,CUST0976,2022-07-01,2022-01-11,Delivered,Upi,Online,37585.38,2459.99,99,Ahmedabad,ON,35224.39,2022-07,2022,Rahul Walker,Other,Corporate,Delhi,DL,46.0,PROD125,3.0,2981.6,16.2,7495.74,Prestige Self-Help 619,Electronics,Self-Help,Philips,28.66
ORD00011,CUST0906,2022-01-08,2022-01-12,Returned,Credit Card,Mobile App,48497.84,12801.97,99,Kolkata,KA,35794.87,2022-01,2022,Yara Jones,Other,Corporate,Bangalore,KA,31.0,PROD134,2.0,2136.04,21.4,3357.85,Sony History 898,Clothing,Fiction,Lg,46.08
ORD00011,CUST0906,2022-01-08,2022-01-12,Returned,Credit Card,Mobile App,48497.84,12801.97,99,Kolkata,KA,35794.87,2022-01,2022,Yara Jones,Other,Corporate,Bangalore,KA,31.0,PROD179,8.0,2666.66,39.6,12885.3,Puma Camera 326,Clothing,Headphones,Apple,38.11
ORD00012,CUST0533,2022-01-09,2022-01-12,Delivered,Upi,Online,4488.28,222.12,199,Kolkata,TN,4465.16,2022-01,2022,Jack  Walker,Other,Corporate,Surat,GJ,46.0,PROD042,4.0,4031.42,34.2,10610.7,Apple Furniture 868,Books,Appliances,Apple,59.18
ORD00013,CUST0779,2022-09-01,2022-01-11,Returned,Wallet,Mobile App,27566.52,5857.29,149,Chennai,TS,21858.23,2022-09,2022,Frank Brown,Male,Home Office,Pune,MH,46.0,PROD025,10.0,2031.27,37.8,12634.5,Prestige Jacket 493,Home & Kitchen,Shoes,Nike,18.62
ORD00014,CUST0613,2022-10-01,2022-01-15,Returned,Debit Card,In-Store,21508.82,2638.9,99,London,KA,18968.92,2022-10,2022,Nick Williams,Male,Home Office,Mumbai,MH,37.0,PROD072,5.0,4438.74,34.9,14448.1,Philips History 903,Electronics,History,Prestige,10.66
ORD00014,CUST0613,2022-10-01,2022-01-15,Returned,Debit Card,In-Store,21508.82,2638.9,99,London,KA,18968.92,2022-10,2022,Nick Williams,Male,Home Office,Mumbai,MH,37.0,PROD053,10.0,4540.02,37.0,28602.13,Samsung Non-Fiction 984,Books,Non-Fiction,Harpercollins,58.1
ORD00014,CUST0613,2022-10-01,2022-01-15,Returned,Debit Card,In-Store,21508.82,2638.9,99,London,KA,18968.92,2022-10,2022,Nick Williams,Male,Home Office,Mumbai,MH,37.0,PROD154,6.0,4639.73,36.8,17593.86,Puma Jacket 845,Books,Jeans,Apple,30.08
ORD00014,CUST0613,2022-10-01,2022-01-15,Returned,Debit Card,In-Store,21508.82,2638.9,99,London,KA,18968.92,2022-10,2022,Nick Williams,Male,Home Office,Mumbai,MH,37.0,PROD032,8.0,2540.96,27.8,14676.58,Reebok Football 191,Electronics,Football,Harpercollins,59.46
ORD00015,CUST0599,2022-11-01,2022-11-04,Shipped,Net Banking,Online,25072.1,8664.92,49,Hyderabad,RJ,16456.18,2022-11,2022,Uma Wilson,Female,Corporate,Toronto,ON,49.0,PROD015,8.0,3356.39,14.7,22904.01,Nike Jacket 551,Electronics,Jacket,Apple,10.71
ORD00015,CUST0599,2022-11-01,2022-11-04,Shipped,Net Banking,Online,25072.1,8664.92,49,Hyderabad,RJ,16456.18,2022-11,2022,Uma Wilson,Female,Corporate,Toronto,ON,49.0,PROD021,6.0,4055.34,31.1,16764.78,Nike Decor 240,Sports,Bedding,Apple,58.93
ORD00015,CUST0599,2022-11-01,2022-11-04,Shipped,Net Banking,Online,25072.1,8664.92,49,Hyderabad,RJ,16456.18,2022-11,2022,Uma Wilson,Female,Corporate,Toronto,ON,49.0,PROD171,6.0,2719.79,9.8,14719.5,Nike Cricket 448,Clothing,Cycling,Lg,54.33
ORD00017,CUST0584,2022-01-12,2022-01-16,Shipped,Debit Card,Mobile App,43321.95,316.88,0,Toronto,LDN,43005.07,2022-01,2022,Peter Jones,Female,Home Office,Toronto,ON,23.0,PROD019,9.0,4780.86,29.5,30334.56,Philips Cycling 881,Books,Swimming,Nike,33.52
ORD00017,CUST0584,2022-01-12,2022-01-16,Shipped,Debit Card,Mobile App,43321.95,316.88,0,Toronto,LDN,43005.07,2022-01,2022,Peter Jones,Female,Home Office,Toronto,ON,23.0,PROD104,4.0,2349.26,30.2,6559.13,Harpercollins Jeans 435,Electronics,Saree,Nike,50.01
ORD00017,CUST0584,2022-01-12,2022-01-16,Shipped,Debit Card,Mobile App,43321.95,316.88,0,Toronto,LDN,43005.07,2022-01,2022,Peter Jones,Female,Home Office,Toronto,ON,23.0,PROD005,2.0,4828.07,37.5,6035.09,Prestige Decor 174,Electronics,Bedding,Prestige,48.78
ORD00018,CUST0381,2022-01-13,2022-01-14,Shipped,Net Banking,Mobile App,9169.07,590.48,99,Bangalore,MH,8677.59,2022-01,2022,Henry Brown,Other,Home Office,Mumbai,MH,46.0,PROD093,7.0,4657.76,23.2,25040.12,Prestige Furniture 284,Electronics,Bedding,Samsung,9.26
ORD00018,CUST0381,2022-01-13,2022-01-14,Shipped,Net Banking,Mobile App,9169.07,590.48,99,Bangalore,MH,8677.59,2022-01,2022,Henry Brown,Other,Home Office,Mumbai,MH,46.0,PROD145,8.0,93.02,9.4,674.21,Reebok Smartwatch 139,Books,Headphones,Sony,11.99
ORD00019,CUST0106,2022-01-14,2022-01-17,Shipped,Credit Card,In-Store,14020.4,0.0,49,London,LDN,14069.4,2022-01,2022,Rahul Patel,Male,Corporate,Toronto,ON,69.0,,,,,,,,,,
ORD00020,CUST0657,2022-01-14,2022-01-21,Shipped,Debit Card,Mobile App,20132.28,2504.1,199,Mumbai,KA,17827.18,2022-01,2022,Mia Brown,Other,Consumer,Toronto,ON,46.0,,,,,,,,,,
ORD00021,CUST0262,2022-01-15,2022-01-20,Returned,Cod,In-Store,12061.9,686.46,199,Jaipur,KA,11574.44,2022-01,2022,Grace Shah,Female,Corporate,Kolkata,WB,43.0,PROD055,2.0,3498.68,4.6,6675.48,Samsung Laptop 541,Electronics,Smartwatch,Adidas,19.97
ORD00022,CUST0355,2022-01-16,2022-01-22,Returned,Wallet,Online,10211.52,255.21,49,Chennai,LDN,10005.31,2022-01,2022,Mia Shah,Female,Home Office,Hyderabad,TS,46.0,PROD077,2.0,2310.36,29.5,3257.61,Nike Laptop 968,Home & Kitchen,Smartwatch,Adidas,58.83
ORD00022,CUST0355,2022-01-16,2022-01-22,Returned,Wallet,Online,10211.52,255.21,49,Chennai,LDN,10005.31,2022-01,2022,Mia Shah,Female,Home Office,Hyderabad,TS,46.0,PROD189,4.0,3992.69,26.6,11722.54,Samsung Shoes 428,Books,Shoes,Apple,40.01
ORD00022,CUST0355,2022-01-16,2022-01-22,Returned,Wallet,Online,10211.52,255.21,49,Chennai,LDN,10005.31,2022-01,2022,Mia Shah,Female,Home Office,Hyderabad,TS,46.0,PROD195,1.0,3759.94,17.5,3101.95,Prestige Swimming 944,Home & Kitchen,Cycling,Prestige,19.96
ORD00023,CUST0291,2022-01-17,2022-01-22,Pending,Cod,In-Store,41420.79,10320.37,0,Hyderabad,LDN,31100.42,2022-01,2022,Karen Williams,Other,Home Office,London,LDN,48.0,PROD200,1.0,4539.33,2.2,4439.46,Philips Yoga 695,Clothing,Yoga,Philips,54.73
ORD00023,CUST0291,2022-01-17,2022-01-22,Pending,Cod,In-Store,41420.79,10320.37,0,Hyderabad,LDN,31100.42,2022-01,2022,Karen Williams,Other,Home Office,London,LDN,48.0,PROD099,6.0,4034.55,11.6,21399.25,Reebok Cricket 803,Sports,Cycling,Puma,51.59
ORD00023,CUST0291,2022-01-17,2022-01-22,Pending,Cod,In-Store,41420.79,10320.37,0,Hyderabad,LDN,31100.42,2022-01,2022,Karen Williams,Other,Home Office,London,LDN,48.0,PROD005,2.0,4878.92,29.0,6928.07,Prestige Decor 174,Electronics,Bedding,Prestige,48.78
ORD00023,CUST0291,2022-01-17,2022-01-22,Pending,Cod,In-Store,41420.79,10320.37,0,Hyderabad,LDN,31100.42,2022-01,2022,Karen Williams,Other,Home Office,London,LDN,48.0,PROD118,10.0,603.91,9.9,5441.23,Philips Tablet 619,Books,Camera,Samsung,55.89
ORD00024,CUST0623,2022-01-17,2022-01-22,Delivered,Cod,Mobile App,1718.44,9.08,99,Jaipur,TS,1808.36,2022-01,2022,Steve Martin,Other,Consumer,Sydney,NSW,42.0,PROD114,2.0,2623.1,21.6,4113.02,Lg Laptop 719,Sports,Tablet,Prestige,25.99
ORD00024,CUST0623,2022-01-17,2022-01-22,Delivered,Cod,Mobile App,1718.44,9.08,99,Jaipur,TS,1808.36,2022-01,2022,Steve Martin,Other,Consumer,Sydney,NSW,42.0,PROD003,3.0,663.27,5.8,1874.4,Samsung Camera 763,Electronics,Mobile,Nike,43.08
ORD00025,CUST0562,2022-01-18,2022-01-24,Delivered,Credit Card,Online,5927.14,253.53,149,London,WB,5822.61,2022-01,2022,Sneha Johnson,Female,Home Office,Bangalore,KA,27.0,,,,,,,,,,
ORD00026,CUST0210,2022-01-19,2022-01-25,Cancelled,Upi,In-Store,23385.08,6100.99,149,Delhi,KA,17433.09,2022-01,2022,Arjun Shah,Female,Corporate,New York,NY,41.0,PROD020,1.0,352.72,38.8,215.86,Apple Jacket 787,Electronics,T-Shirt,Adidas,17.13
ORD00026,CUST0210,2022-01-19,2022-01-25,Cancelled,Upi,In-Store,23385.08,6100.99,149,Delhi,KA,17433.09,2022-01,2022,Arjun Shah,Female,Corporate,New York,NY,41.0,PROD100,1.0,1124.59,2.9,1091.98,Sony History 683,Sports,Comics,Puma,56.77
ORD00026,CUST0210,2022-01-19,2022-01-25,Cancelled,Upi,In-Store,23385.08,6100.99,149,Delhi,KA,17433.09,2022-01,2022,Arjun Shah,Female,Corporate,New York,NY,41.0,PROD064,9.0,3199.54,25.2,21539.3,Apple Laptop 953,Clothing,Camera,Harpercollins,39.99
ORD00027,CUST0422,2022-01-19,2022-01-22,Returned,Wallet,Mobile App,44242.84,13408.6,49,Bangalore,WB,30883.24,2022-01,2022,Eve Lee,Male,Home Office,New York,NY,46.0,PROD028,4.0,1021.58,26.7,2995.27,Apple Science 123,Clothing,History,Samsung,55.38
ORD00027,CUST0422,2022-01-19,2022-01-22,Returned,Wallet,Mobile App,44242.84,13408.6,49,Bangalore,WB,30883.24,2022-01,2022,Eve Lee,Male,Home Office,New York,NY,46.0,PROD084,1.0,2870.91,16.1,2408.69,Philips Comics 538,Electronics,Non-Fiction,Reebok,22.29
