customer_id,customer_name,email,phone,age,gender,city,state,customer_segment,registration_date
CUST0001,victor moore,RACHEL@YAHOO.COM,,200.0,M,Mumbai,MH,home office,01-01-2020
CUST0002,STEVE LEE,olivia58@outlook.com,99999999999999,62.0,F,Toronto,ON,Consumer,02/01/2020
CUST0003,Karen  White,  uma@hotmail.com  ,N/A,200.0,female,Ahmedabad,GJ,CORPORATE,2020-01-04
CUST0004,  Frank Patel  ,djackson@Yahoo.Com,99999999999999,200.0,Other,Ahmedabad,GJ,Consumer,2020-01-06
CUST0005,Rachel Miller,ojackson@hotmail.com,8751295118,,F,Mumbai,MH,consumer,08-Jan-2020
CUST0006,Xander Wilson,  charlie@yahoo.com  ,08921706952,-5.0,f,Hyderabad,TS,Corporate,2020-01-10
CUST0006,ARJUN HARRIS,uma.williams@gmail.com,99999999999999,59.0,MALE,Kolkata,WB,Consumer,11-Jan-2020
CUST0008,Xander  Williams,,+91-66089-40398,48.0,FEMALE,Delhi,DL,home office,13/01/2020
CUST0009,Peter Anderson,rachel.anderson@yahoo.com,,21.0,Other,Delhi,DL,Home Office,15-Jan-2020
CUST0010,Jack Thomas,elee@GMAIL.COM,99999999999999,,F,Ahmedabad,GJ,Corporate,01-17-2020
CUST0011,Arjun  Thomas,nshah@gmail.com,+91-87808-01356,200.0,F,Bangalore,KA,consumer,2020-01-19
CUST0012,OLIVIA GARCIA,uma.shah@outlook.com,99999999999999,-5.0,male,Surat,GJ,Home Office,01-21-2020
CUST0013,IRIS HARRIS,nmoore@GMAIL.COM,N/A,,F,Pune,MH,Corporate,22-Jan-2020
CUST0014,  Priya White  ,pooja65@GMAIL.COM,7232322744,45.0,m,Surat,GJ,CORPORATE,24/01/2020
CUST0015,Arjun Jackson,zoe62@Yahoo.Com,N/A,57.0,FEMALE,Kolkata,WB,home office,26-Jan-2020
CUST0016,Arjun Martin,sbrown@hotmail.com,N/A,-5.0,female,Chennai,TN,Consumer,01-28-2020
CUST0017,Sneha  Walker,jack74@hotmail.com,+91-64271-59637,21.0,male,Surat,GJ,Corporate,30-Jan-2020
