customer_id,customer_name,customer_email,customer_phone,customer_age,customer_gender
CUST-0001,Vivaan Yadav,vivaanyadav332@example.com,9918196009,22,Male
CUST-0002,Kabir Pandey,kabirpandey083@example.com,9986379409,32,Male
CUST-0003,Raj Das,rajdas423@example.com,9951161559,30,Male
CUST-0004,Manish Joshi,manishjoshi161@example.com,9984959319,21,Male
CUST-0005,Deepak Patel,deepakpatel316@example.com,9947525539,31,Male
CUST-0006,Kartik Nair,kartiknair832@example.com,9976483509,24,Male
CUST-0007,Vijay Iyer,vijayiyer413@example.com,9995376729,24,Male
CUST-0008,Sidarth Joshi,sidarthjoshi496@example.com,9996532879,21,Male
CUST-0009,Shaurya Rao,shauryarao269@example.com,9916697849,53,Male
CUST-0010,Shaurya Joshi,shauryajoshi451@example.com,9946270489,32,Male
CUST-0011,Rajesh Kapoor,rajeshkapoor932@example.com,9952880959,28,Male
CUST-0012,Alok Kulkarni,alokkulkarni303@example.com,9991171829,22,Male
CUST-0013,Katrina Nair,katrinanair489@example.com,9963834659,27,Female
CUST-0014,Anika Mishra,anikamishra315@example.com,9909839309,21,Female
CUST-0015,Vikram Singh,vikramsingh051@example.com,9983473829,32,Male
CUST-0016,Riya Mahajan,riyamahajan631@example.com,9916566709,31,Female
CUST-0017,Vihaan Iyer,vihaaniyer513@example.com,9933872629,25,Male
CUST-0018,Arjun Nair,arjunnair810@example.com,9980132679,28,Male
CUST-0019,Aanya Nair,aanyanair606@example.com,9947468729,23,Female
CUST-0020,Vihaan Trivedi,vihaantrivedi805@example.com,9900978829,21,Male
CUST-0021,Rahul Singh,rahulsingh913@example.com,9961939909,30,Male
CUST-0022,Kajol Agrawal,kajolagrawal854@example.com,9935346249,27,Female
CUST-0023,Aarav Giri,aaravgiri991@example.com,9918384259,44,Male
CUST-0024,Alok Patil,alokpatil278@example.com,9949808419,50,Male
CUST-0025,Sanjay Joshi,sanjayjoshi182@example.com,9944935349,28,Male
CUST-0026,Aanya Patel,aanyapatel640@example.com,9905242789,32,Female
CUST-0027,Shaurya Singh,shauryasingh280@example.com,9959826209,25,Male
CUST-0028,Gaurav Banerjee,gauravbanerjee315@example.com,9986923229,44,Male
CUST-0029,Rahul Das,rahuldas634@example.com,9921607339,38,Male
CUST-0030,Jyoti Kulkarni,jyotikulkarni330@example.com,9936541459,30,Female
CUST-0031,Kareena Das,kareenadas014@example.com,9929401969,26,Female
CUST-0032,Sunita Pandey,sunitapandey816@example.com,9993406089,48,Female
CUST-0033,Alok Pillai,alokpillai159@example.com,9951484659,27,Male
CUST-0034,Katrina Mehta,katrinamehta366@example.com,9929946809,25,Female
CUST-0035,Raj Trivedi,rajtrivedi957@example.com,9977387219,25,Male
CUST-0036,Saanvi Mishra,saanvimishra433@example.com,9920037919,27,Female
CUST-0037,Akash Malhotra,akashmalhotra632@example.com,9901632879,21,Male
CUST-0038,Shaurya Giri,shauryagiri278@example.com,9989579869,39,Male
CUST-0039,Priya Mahajan,priyamahajan743@example.com,9948734719,32,Female
CUST-0040,Sunil Das,sunildas581@example.com,9922362319,27,Male
CUST-0041,Kareena Giri,kareenagiri603@example.com,9966909679,18,Female
CUST-0042,Megha Sen,meghasen688@example.com,9993734679,20,Female
CUST-0043,Sonam Nair,sonamnair729@example.com,9980699019,30,Female
CUST-0044,Manish Reddy,manishreddy046@example.com,9953755649,32,Male
CUST-0045,Shruti Patel,shrutipatel708@example.com,9905310039,23,Female
CUST-0046,Ayushmann Rao,ayushmannrao327@example.com,9919374529,30,Male
CUST-0047,Rohan Kulkarni,rohankulkarni190@example.com,9949663199,31,Male
CUST-0048,Ishan Kulkarni,ishankulkarni919@example.com,9905865189,31,Male
CUST-0049,Sandeep Malhotra,sandeepmalhotra165@example.com,9972628499,37,Male
CUST-0050,Kriti Pillai,kritipillai945@example.com,9931473799,30,Female
CUST-0051,Preeti Verma,preetiverma752@example.com,9973545499,31,Female
CUST-0052,Katrina Sharma,katrinasharma831@example.com,9936783779,27,Female
CUST-0053,Reyansh Patil,reyanshpatil363@example.com,9949578859,27,Male
CUST-0054,Jyoti Giri,jyotigiri444@example.com,9931351829,23,Female
CUST-0055,Divya Trivedi,divyatrivedi894@example.com,9913435249,19,Female
CUST-0056,Sunil Gupta,sunilgupta084@example.com,9927109479,28,Male
CUST-0057,Neha Kumar,nehakumar471@example.com,9916719029,22,Female
CUST-0058,Sidarth Iyengar,sidarthiyengar999@example.com,9938677499,55,Male
CUST-0059,Aishwarya Chawla,aishwaryachawla091@example.com,9933412329,29,Female
CUST-0060,Aarav Iyengar,aaraviyengar797@example.com,9940344719,31,Male
CUST-0061,Kajol Choudhury,kajolchoudhury618@example.com,9932421029,35,Female
CUST-0062,Geeta Joshi,geetajoshi746@example.com,9948877199,21,Female
CUST-0063,Swati Pandey,swatipandey401@example.com,9939904909,32,Female
CUST-0064,Karan Khan,karankhan742@example.com,9996717569,25,Male
CUST-0065,Rohan Das,rohandas674@example.com,9968071549,25,Male
CUST-0066,Shraddha Sharma,shraddhasharma876@example.com,9903859779,32,Female
CUST-0067,Sunil Saxena,sunilsaxena247@example.com,9971093249,29,Male
CUST-0068,Saanvi Chatterjee,saanvichatterjee171@example.com,9927484679,54,Female
CUST-0069,Manish Saxena,manishsaxena263@example.com,9998214659,49,Male
CUST-0070,Diya Patil,diyapatil499@example.com,9972787559,29,Female
CUST-0071,Kriti Bhat,kritibhat339@example.com,9963605769,26,Female
CUST-0072,Arnav Gupta,arnavgupta289@example.com,9951718709,32,Male
CUST-0073,Kavya Singh,kavyasingh745@example.com,9996158659,30,Female
CUST-0074,Kareena Gupta,kareenagupta913@example.com,9943161179,23,Female
CUST-0075,Isha Gupta,ishagupta504@example.com,9955623869,29,Female
CUST-0076,Rohan Reddy,rohanreddy196@example.com,9993792379,30,Male
CUST-0077,Shruti Sharma,shrutisharma748@example.com,9921759469,31,Female
CUST-0078,Megha Choudhury,meghachoudhury671@example.com,9936959449,20,Female
CUST-0079,Divya Sharma,divyasharma909@example.com,9974395339,30,Female
CUST-0080,Ishan Gupta,ishangupta470@example.com,9995214569,23,Male
CUST-0081,Varun Roy,varunroy884@example.com,9924745179,52,Male
CUST-0082,Vikram Iyer,vikramiyer851@example.com,9960481759,31,Male
CUST-0083,Kajol Sen,kajolsen513@example.com,9970985939,31,Female
CUST-0084,Megha Iyengar,meghaiyengar120@example.com,9904711389,22,Female
CUST-0085,Deepika Joshi,deepikajoshi692@example.com,9961796409,31,Female
CUST-0086,Dev Nair,devnair351@example.com,9958506439,52,Male
CUST-0087,Saanvi Banerjee,saanvibanerjee900@example.com,9953293189,23,Female
CUST-0088,Vikram Das,vikramdas290@example.com,9942284219,31,Male
CUST-0089,Aryan Sharma,aryansharma539@example.com,9950240269,29,Male
CUST-0090,Karan Nair,karannair589@example.com,9917839089,25,Male
CUST-0091,Vihaan Mahajan,vihaanmahajan661@example.com,9977115929,21,Male
CUST-0092,Madhuri Trivedi,madhuritrivedi856@example.com,9998478969,22,Female
CUST-0093,Sidarth Banerjee,sidarthbanerjee673@example.com,9965766159,27,Male
CUST-0094,Deepika Rao,deepikarao711@example.com,9911615289,21,Female
CUST-0095,Anika Iyengar,anikaiyengar560@example.com,9949451989,23,Female
CUST-0096,Sneha Shah,snehashah585@example.com,9914936899,30,Female
CUST-0097,Kartik Yadav,kartikyadav024@example.com,9945502299,31,Male
CUST-0098,Ayush Verma,ayushverma183@example.com,9966752549,32,Male
CUST-0099,Vihaan Rao,vihaanrao290@example.com,9914767979,27,Male
CUST-0100,Kabir Joshi,kabirjoshi561@example.com,9949784039,26,Male
CUST-0101,Aarav Banerjee,aaravbanerjee432@example.com,9944510769,23,Male
CUST-0102,Kareena Chatterjee,kareenachatterjee885@example.com,9916060719,42,Female
CUST-0103,Aishwarya Iyer,aishwaryaiyer641@example.com,9960529759,21,Female
CUST-0104,Anand Pillai,anandpillai968@example.com,9916453529,21,Male
